epoch,train_classification_loss,train_binary_loss,train_classification_f1_score,train_classification_precision,train_classification_recall,train_binary_f1_score,train_binary_precision,train_binary_recall,train_total_loss,eval_classification_loss,eval_binary_loss,eval_classification_f1_score,eval_classification_precision,eval_classification_recall,eval_binary_f1_score,eval_binary_precision,eval_binary_recall,eval_total_loss
1,3.6209836151394144,0.666523054771617,0.04941092059016228,0.06368395686149597,0.05849434435367584,0.5156716704368591,0.4622073471546173,0.5831223726272583,3.954245142525223,3.0372853168221408,0.6140009573725767,0.26894837617874146,0.30041563510894775,0.30741769075393677,0.6228955984115601,0.5393586158752441,0.737051784992218,3.344285795508429
2,3.212148068520018,0.6012886358699218,0.15914082527160645,0.1916085034608841,0.17767994105815887,0.617986798286438,0.604519784450531,0.6320675015449524,3.512792386454979,2.695380305134973,0.5682499374068061,0.42960435152053833,0.47900688648223877,0.4651608467102051,0.6561886072158813,0.6472868323326111,0.6653386354446411,2.979505273838376
3,2.9620792502679194,0.5636691196920908,0.23131760954856873,0.2550874948501587,0.25983959436416626,0.667560338973999,0.7094017267227173,0.6303797364234924,3.243913810113965,2.4382630059885426,0.5559466169324032,0.5533828735351562,0.5872166156768799,0.5844902992248535,0.6680850982666016,0.7168949842453003,0.6254979968070984,2.7162363144547443
4,2.750633105408722,0.5353682668983634,0.313148558139801,0.3406115770339966,0.3451261520385742,0.7190008759498596,0.7625354528427124,0.6801687479019165,3.0183172388579034,2.2293971971023914,0.547248080719349,0.6082210540771484,0.6284735202789307,0.6386923789978027,0.6666666865348816,0.7242990732192993,0.6175298690795898,2.503021237462066
5,2.5611703081179393,0.5095097412010134,0.38294804096221924,0.4224300682544708,0.41655391454696655,0.7376975417137146,0.7932038903236389,0.6894514560699463,2.8159251787184463,2.08673425885134,0.5222055523894554,0.6336636543273926,0.6835752725601196,0.6551393866539001,0.641686201095581,0.7784090638160706,0.5458167195320129,2.3478370350460676
6,2.437827612542864,0.49607664346694946,0.406127393245697,0.4452073574066162,0.43754842877388,0.7343608140945435,0.7933398485183716,0.6835442781448364,2.6858659342763387,1.9311725566553515,0.5163933412973271,0.6715196371078491,0.7242913246154785,0.6871693134307861,0.6370370388031006,0.8376623392105103,0.5139442086219788,2.189369227304015
7,2.2738266844434785,0.47597963903761153,0.4517472982406616,0.5166299343109131,0.4841180145740509,0.7653656601905823,0.8170498013496399,0.7198312282562256,2.5118165039622844,1.770637359730033,0.5028701888960462,0.6774604320526123,0.7214910387992859,0.696150004863739,0.6636771559715271,0.7589743733406067,0.5896414518356323,2.022072454178056
8,2.1517344580083932,0.4532037183718028,0.49511080980300903,0.5614223480224609,0.5248064398765564,0.7772299647331238,0.8288719058036804,0.7316455841064453,2.378336317194295,1.631938981455426,0.4941693024579869,0.7271683812141418,0.7599721550941467,0.7337067127227783,0.690744936466217,0.796875,0.6095617413520813,1.8790236326844194
9,2.020379349059865,0.4361793707469998,0.5296280980110168,0.617746889591217,0.5541789531707764,0.7951482534408569,0.85014408826828,0.746835470199585,2.238469034433365,1.5742946863174438,0.4800208806991577,0.717681884765625,0.739248514175415,0.7319728136062622,0.6682353019714355,0.8160919547080994,0.5657370686531067,1.8143051266670227
10,1.8988681650403791,0.4261400406130679,0.5665281414985657,0.6235542297363281,0.5900893211364746,0.8003557324409485,0.8458646535873413,0.7594936490058899,2.1119381853469132,1.497683587462403,0.4739097232042357,0.7394988536834717,0.7704001069068909,0.7506975531578064,0.6803653240203857,0.7967914342880249,0.5936254858970642,1.7346384490645208
11,1.7856734440411408,0.3960323165062115,0.595897912979126,0.694267988204956,0.6153061389923096,0.841318666934967,0.8779816627502441,0.8075949549674988,1.9836896022942465,1.3937771542127741,0.4711450275986694,0.7634540796279907,0.7956920862197876,0.7722009420394897,0.6977777481079102,0.7889447212219238,0.6254979968070984,1.629349668012109
12,1.6440668275513626,0.372056625518702,0.6508261561393738,0.7220854759216309,0.6625716686248779,0.8561403751373291,0.8913242220878601,0.8236286640167236,1.8300951403107135,1.3187161379082257,0.46111752162146014,0.778579831123352,0.8009629249572754,0.7851036787033081,0.6742596626281738,0.7872340679168701,0.5896414518356323,1.5492748987189557
13,1.5536480074001449,0.37639001556459417,0.6725437641143799,0.7361812591552734,0.6857777237892151,0.848222017288208,0.8724353313446045,0.8253164291381836,1.741843015182442,1.1928314469581427,0.45165989288063935,0.7700523138046265,0.7902705669403076,0.7776286005973816,0.6926605701446533,0.816216230392456,0.6015936136245728,1.4186613933984624
14,1.466222752169304,0.34155607178126496,0.6926129460334778,0.740875780582428,0.7040324211120605,0.8833768367767334,0.9119496941566467,0.8565400838851929,1.6370007880599367,1.1639961683472921,0.45282015620275984,0.7683548927307129,0.8050107955932617,0.7739687561988831,0.7040358781814575,0.8051282167434692,0.6254979968070984,1.3904062464486722
15,1.3355830372287538,0.3203057075666292,0.7302003502845764,0.7822486162185669,0.7404466867446899,0.8976926207542419,0.9271582961082458,0.8700422048568726,1.4957358910120684,1.1243526242500128,0.44854405730269675,0.7610144019126892,0.8009289503097534,0.7596979141235352,0.6991150379180908,0.7860696315765381,0.629482090473175,1.3486246529013612
16,1.2672741903266327,0.30187165835484636,0.7555378079414368,0.8084119558334351,0.7602807879447937,0.9033920168876648,0.9195803999900818,0.8877637386322021,1.418210019504056,1.0301620849343234,0.4410789075285889,0.7837130427360535,0.7973238825798035,0.7899169325828552,0.7142857313156128,0.7819905281066895,0.6573705077171326,1.2507015386986178
17,1.1920509117508902,0.2898496382581401,0.7657107710838318,0.804007887840271,0.7682569622993469,0.9073675274848938,0.9269366264343262,0.8886076211929321,1.3369757308799601,1.0078992885212565,0.45279002952021224,0.7894952297210693,0.798250675201416,0.7957065105438232,0.7158351540565491,0.7857142686843872,0.6573705077171326,1.2342943032813627
18,1.1068683557098893,0.2808169972926832,0.8028290867805481,0.8248759508132935,0.8032218813896179,0.9137408137321472,0.939393937587738,0.8894515037536621,1.247276854356231,0.9595226687054301,0.4337641489367152,0.7722517848014832,0.7823100686073303,0.7742455005645752,0.7445887327194214,0.8151658773422241,0.6852589845657349,1.1764047431737876
19,1.0424276463271398,0.2644736418112886,0.8092963695526123,0.8528602123260498,0.8072406053543091,0.9321382641792297,0.9430052042007446,0.9215189814567566,1.1746644672327842,0.9732038960900418,0.44595937153627707,0.7869360446929932,0.8309767246246338,0.780426025390625,0.7334755063056946,0.78899085521698,0.6852589845657349,1.1961835818581803
20,0.9579686873455338,0.25738372907118146,0.831692636013031,0.8576725721359253,0.8305063843727112,0.9281437397003174,0.9410234093666077,0.9156118035316467,1.0866605518811245,0.8719539573026258,0.45310810832090154,0.7982547283172607,0.821067750453949,0.8009524345397949,0.7022222280502319,0.7939698696136475,0.629482090473175,1.0985080114630765
