epoch,train_classification_loss,train_binary_loss,train_classification_f1_score,train_classification_precision,train_classification_recall,train_binary_f1_score,train_binary_precision,train_binary_recall,train_total_loss,eval_classification_loss,eval_binary_loss,eval_classification_f1_score,eval_classification_precision,eval_classification_recall,eval_binary_f1_score,eval_binary_precision,eval_binary_recall,eval_total_loss
1,1.0947660740256915,0.34909734209328136,0.7729976177215576,0.8046305179595947,0.7713696360588074,0.8381527662277222,0.871633768081665,0.807148814201355,1.269314745072332,0.4868040597716043,0.22738370853801107,0.9148762822151184,0.931041955947876,0.9216077327728271,0.9006622433662415,0.9357798099517822,0.8680850863456726,0.6004959140406099
2,0.978623381423466,0.32535471733148935,0.7979210019111633,0.831622302532196,0.7989206910133362,0.8550537824630737,0.8859180212020874,0.826267659664154,1.1413007400892108,0.44532009370105213,0.22866091045529344,0.9225624799728394,0.9325820207595825,0.9252332448959351,0.900634229183197,0.894957959651947,0.9063829779624939,0.5596505489286988
3,0.903578935692153,0.29387419856139246,0.8150636553764343,0.8411749005317688,0.8123180270195007,0.8815733194351196,0.9075704216957092,0.8570241332054138,1.0505160349728493,0.46267791127049646,0.22616648275491802,0.9099787473678589,0.9219352006912231,0.9136741161346436,0.9025423526763916,0.8987341523170471,0.9063829779624939,0.5757611526479555
4,0.8678729912351231,0.27924297413396354,0.8398520946502686,0.862794816493988,0.8360400199890137,0.8826815485954285,0.913701057434082,0.8536990880966187,1.007494478302105,0.4344798641842465,0.24261476931183837,0.9205794930458069,0.9289313554763794,0.9214285016059875,0.8926315903663635,0.8833333253860474,0.9021276831626892,0.5557872488401657
5,0.7931183700634138,0.25392909525765983,0.8494457006454468,0.870885968208313,0.8485406637191772,0.9083191752433777,0.9280138611793518,0.889443039894104,0.9200829176922437,0.46879887268986814,0.2432868458157362,0.9160940647125244,0.9213641285896301,0.9200558066368103,0.8808510899543762,0.8808510899543762,0.8808510899543762,0.5904422955977362
6,0.7332184335907098,0.2548843362761028,0.8721703290939331,0.8843961954116821,0.8675404787063599,0.9005101919174194,0.9216710329055786,0.8802992701530457,0.8606606017287612,0.4330669135548348,0.2576602233010669,0.9167546629905701,0.9203763008117676,0.922568678855896,0.8682505488395691,0.8815789222717285,0.8553191423416138,0.5618970252053682
7,0.667643658552073,0.2423631438068327,0.8813635110855103,0.8970663547515869,0.8760068416595459,0.907304584980011,0.9332161545753479,0.8827930092811584,0.7888252304554894,0.41483546446922215,0.24580638942330382,0.9255659580230713,0.9268913269042969,0.9306374788284302,0.8768898248672485,0.890350878238678,0.8638297915458679,0.537738659180874
8,0.6199888413025038,0.22165090012066255,0.8993561267852783,0.9153670072555542,0.8923563957214355,0.9287238717079163,0.9543859362602234,0.9044056534767151,0.730814291362835,0.3918371633734814,0.23794963470725125,0.9325339198112488,0.9345003962516785,0.9358543157577515,0.8752735257148743,0.9009009003639221,0.8510638475418091,0.510811980727107
9,0.6190733156228428,0.21503088695143685,0.8897926211357117,0.9079476594924927,0.882875382900238,0.9327126741409302,0.949999988079071,0.916043221950531,0.7265887590985612,0.39968276578326556,0.23674408433049224,0.9243001341819763,0.9278702139854431,0.9278097748756409,0.8793103694915771,0.8908296823501587,0.8680850863456726,0.5180548079485117
10,0.5914635521355014,0.20740277607580127,0.9014768600463867,0.9150149822235107,0.895818829536438,0.9387927651405334,0.953687846660614,0.9243558049201965,0.695164940173402,0.3840459625041762,0.2359635017292444,0.924527108669281,0.9242822527885437,0.9309666156768799,0.8789808750152588,0.8771186470985413,0.8808510899543762,0.5020277133687985
